Gear_name,Gear_code,Propgutted_PF,Propgutted_DF,Propgutted_MF,Propgutted_FDB,Propguttede_CSB,Propgutted_CZ,Propgutted_BD,Propgutted_SL,Propgutted_CT,Propgutted_KP
Traps_(benthos),TB,0,0,0,0,0,0,0,0,0,0
Pink-shrimp_trawlers,PT,0,0,0,0,0,0,0,0,0,0
Seabob-shrimp_trawlers,ST,0,0,0,0,0,0,0,0,0,0
Fish_trawl,FT,0,0,0,0,0,0,0,0,0,0
Trap_nets,TN,0,0,0,0,0,0,0,0,0,0
Purse_and_beach_seines,PBS,0,0,0,0,0,0,0,0,0,0
Bottom_gillnet,BG,0,0,0,0,0,0,0,0,0,0
Surface_gillnet,SG,0,0,0,0,0,0,0,0,0,0
Bottom_longline,BLL,0,0,0.3,0,0,0,0,0,0,0
Surface_longline_and_lines,SLL,0,0,0.3,0,0,0,0,0,0,0
Others/multiple_gear,OG,0,0,0,0,0,0,0,0,0,0
Pole_and_line,PL,0,0,0.1,0,0,0,0,0,0,0